EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],u_sdss,g_sdss,r_sdss,i_sdss,z_sdss,phase
211,9.39,0.10246891361695745,0.10246861618899539,3.460534024847873,5.228583186601606,-2.984961353509824,0.01,0.055734,19.508436,16.746237,15.093238,13.059025,11.979188,0.0
212,9.39,0.1063067353346552,0.10630642189249713,3.463231655561641,5.219440361286953,-2.951511889181769,0.01,0.055751,19.308729,16.561651,14.920078,12.940094,11.881387,0.0
213,9.39,0.110661299449127,0.11066096707000163,3.4662903642632936,5.209057453589927,-2.9135581581270573,0.01,0.055775,19.086372,16.355543,14.726277,12.806261,11.771416,0.0
214,9.39,0.11484770058948468,0.11484734913895119,3.469231230399272,5.199075995726526,-2.8770694879925927,0.01,0.055798,18.876928,16.161081,14.543188,12.679072,11.666407,0.0
215,9.39,0.11927825285449331,0.11927788022566597,3.472344397014389,5.188514493796109,-2.8384517171033634,0.01,0.055825,18.659916,15.959517,14.353341,12.546096,11.556071,0.0
216,9.39,0.12369430886614997,0.12369391413479487,3.4754475218024465,5.177987153281458,-2.7999593295701097,0.01,0.055851,18.448421,15.76323,14.168543,12.415264,11.447509,0.0
217,9.39,0.12797251072423324,0.1279720936482141,3.4784066947115955,5.167896922540411,-2.7630686153992983,0.01,0.055879,18.250633,15.581089,13.996073,12.291634,11.344906,0.0
218,9.39,0.1325180491907669,0.1325176070822797,3.481549650316743,5.157182287658579,-2.7238873437364943,0.01,0.05591,18.045147,15.392111,13.816369,12.162035,11.237119,0.0
219,9.39,0.13724392539557562,0.13724345642566607,3.484692345742816,5.1463256501042105,-2.684206690507114,0.01,0.055943,17.842617,15.20527,13.638065,12.032716,11.129107,0.0
220,9.39,0.14181655007011296,0.14181605400313482,3.4876663658580442,5.135975239036361,-2.6463853927409344,0.01,0.055976,17.653835,15.029329,13.470819,11.910825,11.027005,0.0
221,9.39,0.14804125999098008,0.14804072809260732,3.490960416094927,5.123953312898144,-2.601843765592689,0.01,0.056015,17.441441,14.830585,13.281235,11.770302,10.908051,0.0
222,9.39,0.15493187668257058,0.15493130422461165,3.4943271055710685,5.111403184410273,-2.555093993569826,0.01,0.056059,17.224882,14.627103,13.086705,11.624569,10.784022,0.0
223,9.39,0.16422657564668658,0.16422595104638588,3.4977669239722715,5.097499995298675,-2.5022253776499905,0.01,0.056108,16.993776,14.408899,12.877593,11.463738,10.645023,0.0
224,9.39,0.17790941400451712,0.177908716026031,3.501537746832433,5.080623799439695,-2.4364219703650134,0.01,0.056167,16.723831,14.152723,12.631631,11.268591,10.473391,0.0
225,9.39,0.19066732897461308,0.19066655950531605,3.5050181111469025,5.0652483820556435,-2.3760893437817314,0.01,0.056225,16.479637,13.920033,12.408449,11.090039,10.315971,0.0
226,9.39,0.20324441581938474,0.20324357171248542,3.5084484261125395,5.050054583428924,-2.316581313763135,0.01,0.056289,16.242971,13.693817,12.191767,10.914815,10.160713,0.0
227,9.39,0.20965166146409492,0.20965078132401022,3.5100223354683995,5.0443465064095605,-2.2917326983547284,0.01,0.056316,16.14283,13.59762,12.099667,10.840938,10.095671,0.0
228,9.39,0.21561522816970444,0.2156143139387799,3.5114619412601873,5.039298468099464,-2.2693753947719135,0.01,0.05634,16.053059,13.511246,12.017,10.77451,10.037163,0.0
229,9.39,0.22195434732676758,0.22195339562793537,3.51299418822885,5.033891097782111,-2.2455599710090297,0.01,0.056365,15.958247,13.419927,11.929626,10.70399,9.974912,0.0
230,9.39,0.22777148923695148,0.2277705018865268,3.514407209650538,5.028916350320648,-2.22369365676195,0.01,0.056391,15.871782,13.33655,11.849874,10.639403,9.917816,0.0
231,9.39,0.23352806247729346,0.2335270387281321,3.515805459871472,5.023949019766646,-2.2020131926693676,0.01,0.056415,15.786745,13.25446,11.771368,10.57557,9.86128,0.0
232,9.39,0.23961824873278997,0.2396171852632782,3.5172848052839765,5.018660713858565,-2.1790860394436917,0.01,0.056439,15.697478,13.168189,11.688875,10.508258,9.801573,0.0
233,9.39,0.246009340124217,0.24600823476803305,3.518830298935756,5.013387801081379,-2.1558792107543105,0.01,0.056464,15.606952,13.080539,11.605102,10.439999,9.741152,0.0
234,9.39,0.25206031661030975,0.2520591702954933,3.5202936421138387,5.008346127507435,-2.1338656602313244,0.01,0.056486,15.521776,12.997959,11.526176,10.375454,9.683936,0.0
235,9.39,0.2598918330780501,0.2598906348934159,3.522170201702215,5.0025081673159235,-2.107432494229503,0.01,0.056514,15.418246,12.897321,11.430063,10.297407,9.615191,0.0
236,9.39,0.26818099671964085,0.2681797433593335,3.5241467135509663,4.996679768287819,-2.0805711520112804,0.01,0.056545,15.313652,12.795128,11.332522,10.218083,9.545461,0.0
237,9.39,0.27632152508992025,0.2763202152776565,3.526088262487074,4.990850037884536,-2.0540837118005237,0.01,0.056573,15.212206,12.695598,11.237496,10.140301,9.476784,0.0
238,9.39,0.2841506719129512,0.28414930564878743,3.5279599783674893,4.985159858743602,-2.028530624907309,0.01,0.056599,15.115189,12.600189,11.146348,10.065496,9.410738,0.0
239,9.39,0.2912703885679334,0.2912689692025599,3.529683528445127,4.979981930447646,-2.0053220207213536,0.01,0.056622,15.02736,12.513597,11.063575,9.997592,9.350985,0.0
240,9.39,0.2983108166802375,0.298309342711922,3.531389730170959,4.974780797295779,-1.9822937262028255,0.01,0.056644,14.940888,12.428139,10.981817,9.930394,9.291986,0.0
241,9.39,0.30349117116164204,0.3034896543064062,3.532687011890061,4.971064941547894,-1.9655497233749915,0.01,0.056661,14.87747,12.365285,10.921671,9.881282,9.249143,0.0
242,9.39,0.3073328210368813,0.30733127224137236,3.533706484822035,4.968498039408827,-1.9534235516178584,0.01,0.056673,14.83047,12.318566,10.876982,9.845284,9.218112,0.0
243,9.39,0.3099490622607241,0.3099474886122255,3.5343906458634495,4.966713173293588,-1.9451788927825897,0.01,0.056684,14.798755,12.287008,10.846776,9.820888,9.197057,0.0
244,9.39,0.31094680815411113,0.31094521936156355,3.534632471854324,4.966009065797407,-1.9421094824111031,0.01,0.056691,14.78717,12.275483,10.835735,9.811887,9.189235,0.0
245,9.39,0.31191406117629594,0.311912459133296,3.534865911702221,4.965332581471573,-1.9391425168800234,0.01,0.056699,14.775987,12.264353,10.82507,9.80319,9.181678,0.0
246,9.39,0.3128764658592436,0.3128748524571997,3.535100187475318,4.964672109333756,-1.9361975574129586,0.01,0.056705,14.764854,12.253265,10.814445,9.794543,9.174177,0.0
247,9.39,0.31387279501124493,0.3138711711334275,3.5353430939822292,4.9640161020410005,-1.9331771452522548,0.01,0.056709,14.753407,12.241855,10.803507,9.78566,9.166486,0.0
248,9.39,0.31486346766445455,0.3148618343449703,3.5355915484360096,4.963388339789023,-1.9301792551350663,0.01,0.056711,14.741942,12.230413,10.792542,9.7768,9.15885,0.0
249,9.39,0.31582368475540645,0.31582204415924064,3.535837954612246,4.962788509417781,-1.927265988298278,0.01,0.056713,14.730736,12.219222,10.781814,9.768164,9.151429,0.0
250,9.39,0.3168307051242537,0.3168290596815248,3.536095314211382,4.962172581115262,-1.9242284770090197,0.01,0.05671,14.71905,12.207546,10.770619,9.759157,9.143696,0.0
251,9.39,0.3179824532085137,0.3179808030781473,3.5363921013291795,4.961460969244897,-1.9207472810262682,0.01,0.056704,14.705645,12.194142,10.757767,9.748827,9.134836,0.0
252,9.39,0.31958561366958405,0.3195839553683154,3.5367895243164984,4.960483000449613,-1.9160014684327709,0.01,0.056696,14.687504,12.176,10.740361,9.734791,9.122771,0.0
253,9.39,0.3213813865302797,0.32137972099798195,3.5372529456892843,4.9593363397703,-1.9105736519765597,0.01,0.056666,14.666646,12.155113,10.720321,9.71869,9.108979,0.0
254,9.39,0.32521322156450627,0.3252115249768452,3.5381630161036166,4.956628426523771,-1.8991333287397807,0.01,0.056612,14.623794,12.112233,10.679144,9.685178,9.079995,0.0
255,9.39,0.32970719435746987,0.329705457190232,3.5392149596500335,4.9534772731526395,-1.8858257849705002,0.01,0.056559,14.574202,12.062523,10.631363,9.646258,9.046348,0.0
256,9.39,0.3342611995503787,0.33425941959511074,3.5402706173425806,4.950681093064415,-1.8728296884467963,0.01,0.056507,14.525503,12.013554,10.584229,9.608086,9.013531,0.0
257,9.39,0.34017268252078625,0.34017084209872195,3.5415371138110174,4.945513352514972,-1.8549595273072959,0.01,0.056303,14.461519,11.949321,10.522348,9.556767,8.968619,0.0
258,9.39,0.34487398465668534,0.34487209280693293,3.5424964233599097,4.93873343850495,-1.8383698329186207,0.01,0.055919,14.405505,11.893305,10.468382,9.510509,8.927134,0.0
259,9.39,0.34888494806178183,0.3488830094791408,3.5433132715559212,4.933735529162994,-1.825085337250703,0.01,0.055545,14.360069,11.847649,10.42431,9.473155,8.893933,0.0
260,9.39,0.3527356050996854,0.35273362086481913,3.544061842386011,4.927004925754313,-1.8105605478157378,0.01,0.055021,14.312622,11.800122,10.378431,9.433227,8.857745,0.0
261,9.39,0.35654467365102877,0.35654264245511097,3.544795595959093,4.921520924889871,-1.797500176991794,0.01,0.054336,14.269253,11.756371,10.336055,9.396913,8.825196,0.0
262,9.39,0.36028303258194455,0.36028095401191534,3.545516197615152,4.916697224016412,-1.7852406232921278,0.01,0.053635,14.228264,11.714829,10.295727,9.362628,8.794632,0.0
263,9.39,0.3633763669476176,0.36337425096027104,3.546124277898892,4.91361175581228,-1.7760063196928604,0.01,0.053185,14.196583,11.682539,10.264325,9.336417,8.771587,0.0
264,9.39,0.36595242685942514,0.3659502818426914,3.546663184684701,4.912507545284342,-1.7696923026123528,0.01,0.052976,14.173252,11.658506,10.240894,9.317744,8.755782,0.0
265,9.39,0.3684784264022674,0.36847625396165135,3.5471562566221593,4.910325634893735,-1.762552144577228,0.01,0.05266,14.14858,11.633237,10.216268,9.297355,8.737959,0.0
266,9.39,0.3711878293578238,0.37118562796892524,3.5477225556336527,4.907955388089293,-1.7547176425966675,0.01,0.052272,14.121246,11.605152,10.18887,9.274847,8.718403,0.0
267,9.39,0.374122712906948,0.37412048021233246,3.5483518471664794,4.90616469472355,-1.7469991774191012,0.01,0.052014,14.093418,11.576411,10.160806,9.252265,8.699112,0.0
268,9.39,0.377884854263363,0.3778825815872417,3.5491234319636247,4.903992741367883,-1.7374354057421675,0.01,0.051785,14.059166,11.541002,10.126204,9.224355,8.675215,0.0
269,9.39,0.3830752930612318,0.38307296349179587,3.5501720601067555,4.900753531036455,-1.7242151184605425,0.01,0.051489,14.012297,11.492477,10.078746,9.185934,8.6422,0.0
270,9.39,0.38984505211139714,0.3898426413682168,3.5515553081251947,4.896067471698768,-1.706736370987369,0.01,0.051181,13.950716,11.428636,10.016273,9.135272,8.598585,0.0
271,9.39,0.3998273405502005,0.39982480613823823,3.5535831455755504,4.889376925782167,-1.681100943108984,0.01,0.050757,13.861145,11.335402,9.924846,9.061099,8.534648,0.0
